源节点,目标节点
疾病_高血压,药物_阿司匹林肠溶片
疾病_高血压,药物_苯磺酸氨氯地平片
疾病_高血压,药物_富马酸比索洛尔片
疾病_高血压,疾病_脂肪肝
疾病_高血压,检验_血小板比容
疾病_高血压,检验_嗜酸性粒细胞数量
疾病_高血压,药物_硝苯地平控释片
疾病_高血压,疾病_糖尿病
疾病_高血压,检验_谷丙转氨酶
疾病_高血压,疾病_肝功能异常
疾病_高血压,药物_贞芪扶正
疾病_高血压,检验_红细胞压积
疾病_高血压,疾病_非毒性多个甲状腺结节
疾病_高血压,药物_厄贝沙坦氢氯噻嗪片
疾病_高血压,疾病_反流性食管炎
疾病_高血压,疾病_前列腺增生
疾病_高血压,疾病_动脉硬化
疾病_高血压,药物_盐酸二甲双胍片
疾病_高血压,疾病_肝囊肿
疾病_高血压,疾病_混合痔
疾病_高脂血症,药物_匹伐他汀钙片
疾病_高脂血症,药物_阿托伐他汀钙片
疾病_高脂血症,药物_贞芪扶正
疾病_高脂血症,疾病_腔隙性脑梗死
疾病_高脂血症,疾病_低蛋白血症
疾病_高脂血症,药物_头孢地尼分散片
疾病_高脂血症,疾病_前列腺增生
疾病_高脂血症,检验_嗜酸性粒细胞数量
疾病_高脂血症,疾病_恶性肿瘤中医治疗
疾病_高脂血症,药物_肝素钠注射液
疾病_糖尿病,检验_葡萄糖
疾病_糖尿病,药物_阿卡波糖片
疾病_糖尿病,疾病_糖尿病性周围神经病
疾病_糖尿病,药物_盐酸二甲双胍片
疾病_糖尿病,药物_甲钴胺分散片
疾病_糖尿病,药物_贞芪扶正
疾病_糖尿病,检验_肌酐
疾病_糖尿病,检验_红细胞
疾病_糖尿病,检验_尿酸
疾病_糖尿病,检验_前白蛋白
疾病_糖尿病,疾病_肺部感染
疾病_糖尿病,药物_单硝酸异山梨酯缓释片
疾病_糖尿病,疾病_动脉硬化
疾病_糖尿病,疾病_肝囊肿
疾病_糖尿病,检验_红细胞分布宽度SD
疾病_糖尿病,疾病_肢体动脉硬化
疾病_糖尿病,检验_球蛋白
疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛
疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片
疾病_冠状动脉粥样硬化性心脏病,药物_单硝酸异山梨酯片
疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症
疾病_冠状动脉粥样硬化性心脏病,检验_谷草转氨酶
疾病_冠状动脉粥样硬化性心脏病,疾病_肾性贫血
疾病_冠状动脉粥样硬化性心脏病,疾病_陈旧性脑梗死
