源节点,目标节点
检验_血红蛋白,检验_红细胞
检验_血红蛋白,检验_红细胞压积
检验_血红蛋白,检验_红细胞分布宽度CV
检验_血红蛋白,检验_D二聚体定量
检验_血红蛋白,检验_钙
检验_血红蛋白,检验_淋巴细胞数量
检验_血红蛋白,检验_血红蛋白_1
检验_血红蛋白,检验_肌酐
检验_血红蛋白,疾病_贫血
检验_血红蛋白,疾病_缺铁性贫血
检验_血红蛋白,疾病_轻度贫血
检验_红细胞分布宽度CV,检验_红细胞分布宽度SD
检验_红细胞分布宽度CV,检验_血小板
检验_红细胞分布宽度CV,检验_平均血红蛋白浓度
检验_D二聚体定量,检验_纤维蛋白原降解产物
检验_D二聚体定量,检验_C反应蛋白
检验_D二聚体定量,检验_癌抗原125
检验_D二聚体定量,检验_超氧化物歧化酶
检验_D二聚体定量,检验_凝血酶原时间
检验_D二聚体定量,疾病_低蛋白血症
检验_D二聚体定量,药物_盐酸羟考酮缓释片
检验_D二聚体定量,检验_凝血酶时间
检验_D二聚体定量,药物_艾司唑仑片
检验_D二聚体定量,药物_云南白药胶囊
检验_D二聚体定量,疾病_下肢静脉血栓形成
检验_钙,检验_总蛋白
检验_淋巴细胞数量,检验_淋巴细胞比率
检验_血红蛋白_1,检验_缓冲碱
检验_血红蛋白_1,检验_氧合血红蛋白
检验_血红蛋白_1,检验_高铁血红蛋白
检验_肌酐,检验_血尿素氮
检验_肌酐,检验_白蛋白(溴甲酚绿法)
检验_肌酐,检验_尿酸
检验_肌酐,疾病_慢性肾功能不全
检验_肌酐,检验_B型钠酸肽
检验_肌酐,疾病_肾功能不全
检验_红细胞分布宽度SD,检验_红细胞平均体积
检验_血小板,检验_血小板比容
检验_血小板,检验_大型血小板比率
检验_C反应蛋白,检验_纤维蛋白原
检验_C反应蛋白,检验_白球比
检验_C反应蛋白,检验_前白蛋白
检验_C反应蛋白,检验_降钙素原检测
检验_C反应蛋白,疾病_肺部感染
检验_C反应蛋白,药物_氯化钠注射液
检验_C反应蛋白,检验_淀粉酶
检验_C反应蛋白,药物_氨酚羟考酮片
检验_C反应蛋白,药物_盐酸曲马多缓释片
检验_癌抗原125,检验_细胞角蛋白19片段测定
检验_癌抗原125,检验_癌抗原15-3
检验_癌抗原125,疾病_胸腔积液
检验_癌抗原125,疾病_卵巢恶性肿瘤
检验_癌抗原125,疾病_肺动脉高压
检验_超氧化物歧化酶,检验_脂蛋白(a)
检验_超氧化物歧化酶,药物_百令胶囊
检验_凝血酶原时间,检验_凝血酶原时间活动度
检验_凝血酶原时间,检验_抗凝血酶Ⅲ活性
检验_凝血酶原时间,检验_直接胆红素
疾病_低蛋白血症,疾病_腹腔积液
疾病_低蛋白血症,药物_人血白蛋白
药物_盐酸羟考酮缓释片,药物_盐酸布桂嗪注射液
药物_艾司唑仑片,疾病_失眠
药物_艾司唑仑片,疾病_睡眠障碍
检验_总蛋白,检验_白蛋白
检验_总蛋白,检验_球蛋白
检验_淋巴细胞比率,检验_中性粒细胞比率
检验_淋巴细胞比率,检验_钠
检验_缓冲碱,检验_碳酸氢盐_1
检验_氧合血红蛋白,检验_氧分压
检验_血尿素氮,疾病_尿毒症
检验_红细胞平均体积,检验_平均血红蛋白含量
检验_大型血小板比率,检验_血小板分布宽度
检验_纤维蛋白原,检验_血清唾液酸
检验_前白蛋白,检验_胆碱酯酶
检验_前白蛋白,检验_载脂蛋白A1
检验_前白蛋白,疾病_恶性肿瘤支持治疗
检验_降钙素原检测,检验_钾离子
检验_降钙素原检测,检验_脂肪酶
检验_降钙素原检测,药物_肠内营养混悬液
检验_降钙素原检测,疾病_肠道菌群失调
疾病_肺部感染,药物_复方鲜竹沥液
疾病_肺部感染,疾病_慢性支气管炎
疾病_肺部感染,药物_头孢克肟胶囊
药物_氯化钠注射液,药物_氯化钾注射液
药物_氯化钠注射液,药物_注射用头孢唑肟钠
药物_氯化钠注射液,药物_盐酸氨溴索注射液
药物_氯化钠注射液,药物_注射用单硝酸异山梨酯
药物_氯化钠注射液,药物_注射用哌拉西林钠舒巴坦钠
药物_氯化钠注射液,药物_呋塞米注射液
药物_氯化钠注射液,药物_注射用泮托拉唑钠
药物_氯化钠注射液,药物_参附注射液
药物_氯化钠注射液,药物_托拉塞米注射液
药物_氯化钠注射液,药物_肝素钠注射液
药物_氯化钠注射液,药物_低分子量肝素钙注射液
药物_氯化钠注射液,药物_喜炎平注射液
药物_氯化钠注射液,药物_丹参酮A磺酸钠注射液
药物_氯化钠注射液,药物_注射用亚胺培南西司他丁钠
药物_氯化钠注射液,药物_注射用拉氧头孢钠
药物_氯化钠注射液,药物_甘油灌肠剂
药物_氯化钠注射液,药物_注射用血栓通
药物_氯化钠注射液,药物_醒脑静注射液
药物_氯化钠注射液,药物_胰岛素注射液
药物_氯化钠注射液,药物_注射用奥美拉唑钠
药物_氯化钠注射液,药物_注射用还原型谷胱甘肽
药物_氯化钠注射液,药物_丹红注射液
药物_氯化钠注射液,药物_注射用胸腺五肽
检验_细胞角蛋白19片段测定,检验_癌胚抗原
检验_细胞角蛋白19片段测定,检验_神经元特异性烯醇化酶测定
检验_细胞角蛋白19片段测定,检验_鳞状上皮细胞癌抗原
检验_细胞角蛋白19片段测定,检验_肿瘤相关抗原72-4
疾病_胸腔积液,疾病_心包积液
疾病_卵巢恶性肿瘤,疾病_下肢静脉曲张
检验_凝血酶原时间活动度,检验_活化部分凝血活酶时间
检验_直接胆红素,检验_总胆红素
检验_直接胆红素,检验_总胆红素_1
药物_盐酸布桂嗪注射液,药物_盐酸吗啡注射液
药物_盐酸布桂嗪注射液,药物_芬太尼透皮贴剂
疾病_失眠,药物_佐匹克隆片
疾病_失眠,疾病_焦虑状态
检验_白蛋白,检验_肌酐(酶法)
检验_白蛋白,检验_乳酸
检验_中性粒细胞比率,检验_中性粒细胞数量
检验_中性粒细胞比率,检验_嗜酸性粒细胞比率
检验_钠,检验_氯
检验_碳酸氢盐_1,检验_标准碳酸氢盐
检验_碳酸氢盐_1,检验_二氧化碳分压
检验_碳酸氢盐_1,检验_二氧化碳的总浓度
检验_碳酸氢盐_1,检验_细胞外剩余碱
检验_碳酸氢盐_1,检验_剩余碱
检验_氧分压,检验_碳氧血红蛋白
疾病_尿毒症,药物_重组人促红素注射液
疾病_尿毒症,检验_磷
疾病_尿毒症,药物_苯磺酸氨氯地平片
疾病_尿毒症,药物_甲钴胺注射液
疾病_尿毒症,药物_硝苯地平缓释片
疾病_尿毒症,检验_葡萄糖
疾病_尿毒症,检验_谷草转氨酶
疾病_尿毒症,药物_厄贝沙坦片
疾病_尿毒症,疾病_高脂血症
疾病_尿毒症,药物_硝苯地平控释片
疾病_尿毒症,检验_总胆固醇
疾病_尿毒症,检验_白细胞_2
疾病_尿毒症,药物_蔗糖铁注射液
疾病_尿毒症,药物_缬沙坦胶囊
疾病_尿毒症,疾病_后天性肾囊肿
检验_平均血红蛋白含量,检验_PSA的比值
检验_血小板分布宽度,检验_平均血小板体积
检验_胆碱酯酶,检验_甘胆酸
检验_胆碱酯酶,检验_碱性磷酸酶
检验_载脂蛋白A1,检验_高密度脂蛋白
检验_载脂蛋白A1,检验_载脂蛋白B
检验_钾离子,检验_钠离子
检验_钾离子,检验_氧分压_1
检验_钾离子,检验_乳酸_1
疾病_慢性支气管炎,疾病_肺气肿
药物_氯化钾注射液,药物_葡萄糖氯化钠注射液
药物_氯化钾注射液,药物_葡萄糖注射液
药物_氯化钾注射液,药物_门冬氨酸钾镁注射液
药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液
药物_盐酸氨溴索注射液,药物_痰热清注射液
药物_盐酸氨溴索注射液,药物_注射用氨曲南
药物_参附注射液,药物_生脉注射液
药物_注射用血栓通,药物_马来酸桂哌齐特注射液
检验_癌胚抗原,检验_癌抗原19-9
检验_癌胚抗原,疾病_肺恶性肿瘤
检验_癌胚抗原,疾病_恶性肿瘤维持性化学治疗
检验_神经元特异性烯醇化酶测定,检验_乳酸脱氢酶
检验_总胆红素,检验_间接胆红素
检验_总胆红素_1,检验_红细胞平均体积_1
药物_佐匹克隆片,药物_氯硝西泮片
疾病_焦虑状态,疾病_抑郁状态
疾病_焦虑状态,药物_劳拉西泮片
检验_肌酐(酶法),检验_尿素
检验_肌酐(酶法),检验_血清视黄醇结合蛋白
检验_肌酐(酶法),药物_左卡尼汀注射液
检验_肌酐(酶法),检验_乙肝核心抗体
检验_肌酐(酶法),检验_游离脂肪酸
检验_中性粒细胞数量,检验_白细胞
检验_中性粒细胞数量,检验_单核细胞数量
检验_嗜酸性粒细胞比率,检验_嗜酸性粒细胞数量
检验_标准碳酸氢盐,检验_标准PH值
检验_二氧化碳分压,检验_PH值
检验_二氧化碳分压,检验_氧饱和度
检验_二氧化碳分压,疾病_慢性阻塞性肺疾病急性加重
药物_重组人促红素注射液,药物_碳酸钙片
