源节点,目标节点
疾病_糖尿病,检验_葡萄糖
疾病_糖尿病,药物_阿卡波糖片
疾病_糖尿病,疾病_糖尿病性周围神经病
疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛
疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片
疾病_冠状动脉粥样硬化性心脏病,药物_单硝酸异山梨酯片
疾病_混合痔,药物_头孢地尼分散片
疾病_高尿酸血症,药物_碳酸氢钠片
疾病_肺部感染,药物_二羟丙茶碱注射液
疾病_肺部感染,药物_葡萄糖注射液
疾病_肺部感染,疾病_脑梗死
疾病_肺部感染,药物_氯化钠注射液
疾病_肺部感染,疾病_低钾血症
疾病_尿毒症,检验_胆碱酯酶
疾病_尿毒症,检验_谷丙转氨酶
疾病_尿毒症,检验_氯
疾病_尿毒症,检验_磷
疾病_尿毒症,检验_钠
疾病_尿毒症,检验_淋巴细胞数量
疾病_泌尿系感染,疾病_低蛋白血症
疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病
疾病_糖尿病性周围神经病,药物_阿卡波糖片
疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变
疾病_低蛋白血症,检验_前白蛋白
疾病_低蛋白血症,检验_C反应蛋白
疾病_低蛋白血症,药物_盐酸曲美他嗪片
疾病_肢体动脉硬化,疾病_颈总动脉斑块
疾病_脑梗死,药物_盐酸氨溴索注射液
疾病_脑梗死,药物_二羟丙茶碱注射液
疾病_心功能,疾病_不稳定性心绞痛
疾病_恶性肿瘤维持性化学治疗,药物_盐酸羟考酮缓释片
疾病_重度骨质疏松,药物_碳酸钙片
疾病_重度骨质疏松,疾病_类风湿性关节炎
疾病_颈总动脉斑块,疾病_老年性白内障
疾病_陈旧性脑梗死,药物_盐酸曲美他嗪片
疾病_老年性白内障,检验_大型血小板比率
疾病_不稳定性心绞痛,药物_硫酸氢氯吡格雷片
疾病_糖尿病性周围血管病,药物_匹伐他汀钙片
疾病_肛乳头肥大,药物_裸花紫珠分散片
疾病_肾性贫血,药物_碳酸氢钠片
疾病_类风湿性关节炎,药物_骨化三醇胶丸
疾病_高同型半胱氨酸血症,药物_叶酸片
药物_氯化钠注射液,药物_肝素钠注射液
药物_氯化钠注射液,药物_二羟丙茶碱注射液
药物_氯化钠注射液,药物_维生素C注射液
药物_盐酸羟考酮缓释片,药物_盐酸布桂嗪注射液
药物_盐酸羟考酮缓释片,检验_碱性磷酸酶
药物_盐酸羟考酮缓释片,检验_前白蛋白
药物_碳酸钙片,药物_骨化三醇胶丸
药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片
药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片
药物_肝素钠注射液,药物_复方鲜竹沥液
药物_肝素钠注射液,药物_维生素C注射液
药物_酒石酸美托洛尔片,药物_螺内酯片
药物_头孢地尼分散片,药物_裸花紫珠分散片
药物_叶酸片,药物_琥珀酸亚铁片
药物_重组人促红素注射液,检验_胆碱酯酶
药物_重组人促红素注射液,检验_谷丙转氨酶
药物_重组人促红素注射液,检验_磷
药物_重组人促红素注射液,检验_钠
药物_重组人促红素注射液,检验_淋巴细胞数量
药物_重组人促红素注射液,检验_氯
药物_盐酸氨溴索注射液,药物_维生素C注射液
药物_盐酸氨溴索注射液,药物_维生素B6注射液
药物_盐酸氨溴索注射液,检验_白球比
药物_盐酸氨溴索注射液,药物_复方鲜竹沥液
药物_葡萄糖注射液,药物_维生素B6注射液
药物_二羟丙茶碱注射液,药物_复方鲜竹沥液
检验_氯,检验_钠
检验_总蛋白,检验_白蛋白
检验_白球比,检验_C反应蛋白
检验_白球比,检验_前白蛋白
检验_间接胆红素,检验_直接胆红素
检验_红细胞压积,检验_红细胞
检验_红细胞压积,检验_红细胞分布宽度CV
检验_白细胞,检验_中性粒细胞数量
检验_红细胞,检验_红细胞分布宽度SD
检验_红细胞,检验_红细胞分布宽度CV
检验_血红蛋白,检验_红细胞分布宽度CV
检验_淋巴细胞数量,检验_淋巴细胞比率
检验_嗜碱性粒细胞数量,检验_嗜碱性粒细胞比率
检验_血小板分布宽度,检验_大型血小板比率
检验_平均血小板体积,检验_大型血小板比率
检验_淋巴细胞比率,检验_中性粒细胞数量
检验_中性粒细胞比率,检验_中性粒细胞数量
检验_红细胞平均体积,检验_平均血红蛋白含量
检验_前白蛋白,检验_胆碱酯酶
检验_转肽酶,检验_碱性磷酸酶
