边,源节点,目标节点,平均分数,标准差,变异系数,稳定性分数,最大成对差异,平均成对差异,方法数量,一致性水平,MLE_分数,Bayesian_分数,EM_分数,SEM_分数
检验_钠->检验_葡萄糖,检验_钠,检验_葡萄糖,0.09336248561453223,0.14311118377118504,1.53285533080226,0.39481133716518213,0.33205814864256195,0.16602907432128097,4,不一致,0.01152127252235489,0.009174624385428608,0.01152127252235489,0.34123277302799054
药物_盐酸曲美他嗪片->疾病_低蛋白血症,药物_盐酸曲美他嗪片,疾病_低蛋白血症,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_非毒性多个甲状腺结节->检验_红细胞压积,疾病_非毒性多个甲状腺结节,检验_红细胞压积,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
检验_红细胞压积->检验_直接胆红素,检验_红细胞压积,检验_直接胆红素,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
检验_白细胞->药物_二羟丙茶碱注射液,检验_白细胞,药物_二羟丙茶碱注射液,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
检验_肌酐->疾病_腔隙性脑梗死,检验_肌酐,疾病_腔隙性脑梗死,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_二羟丙茶碱注射液->药物_酒石酸美托洛尔片,药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_单硝酸异山梨酯片->疾病_冠状动脉粥样硬化性心脏病,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_呋塞米片->药物_螺内酯片,药物_呋塞米片,药物_螺内酯片,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_螺内酯片->药物_艾司唑仑片,药物_螺内酯片,药物_艾司唑仑片,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_脑梗死->疾病_糖尿病性视网膜病变,疾病_脑梗死,疾病_糖尿病性视网膜病变,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
检验_大型血小板比率->疾病_老年性白内障,检验_大型血小板比率,疾病_老年性白内障,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_老年性白内障->检验_大型血小板比率,疾病_老年性白内障,检验_大型血小板比率,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_匹伐他汀钙片->药物_阿托伐他汀钙片,药物_匹伐他汀钙片,药物_阿托伐他汀钙片,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_肾性贫血->药物_骨化三醇胶丸,疾病_肾性贫血,药物_骨化三醇胶丸,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
药物_阿卡波糖片->检验_谷草转氨酶,药物_阿卡波糖片,检验_谷草转氨酶,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_脂肪肝->检验_C反应蛋白,疾病_脂肪肝,检验_C反应蛋白,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
疾病_肺部感染->检验_血小板,疾病_肺部感染,检验_血小板,0.08781794799923064,0.14317406714009193,1.6303508610944344,0.38017741845432773,0.3355535092287742,0.1703964684090785,4,不一致,0.0,0.015718282768148358,0.0,0.3355535092287742
