路径ID,起始节点,中介变量,终点节点,完整路径
1,检验_中性粒细胞比率,检验_中性粒细胞数量,检验_白细胞,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_白细胞
2,检验_中性粒细胞比率,检验_中性粒细胞数量,检验_单核细胞数量,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_单核细胞数量
3,检验_中性粒细胞比率,检验_中性粒细胞数量,检验_镁,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_镁
4,检验_中性粒细胞比率,检验_中性粒细胞数量,药物_复方鲜竹沥液,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 药物_复方鲜竹沥液
5,检验_中性粒细胞比率,检验_中性粒细胞数量,药物_苯磺酸氨氯地平片,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 药物_苯磺酸氨氯地平片
6,检验_中性粒细胞比率,检验_淋巴细胞比率,检验_淋巴细胞数量,检验_中性粒细胞比率 → 检验_淋巴细胞比率 → 检验_淋巴细胞数量
7,检验_中性粒细胞比率,检验_淋巴细胞比率,药物_维生素B6注射液,检验_中性粒细胞比率 → 检验_淋巴细胞比率 → 药物_维生素B6注射液
8,检验_白球比,检验_C反应蛋白,药物_复方鲜竹沥液,检验_白球比 → 检验_C反应蛋白 → 药物_复方鲜竹沥液
9,检验_白球比,检验_C反应蛋白,疾病_低钾血症,检验_白球比 → 检验_C反应蛋白 → 疾病_低钾血症
10,检验_白球比,检验_C反应蛋白,检验_总蛋白,检验_白球比 → 检验_C反应蛋白 → 检验_总蛋白
11,检验_白球比,检验_前白蛋白,检验_胆碱酯酶,检验_白球比 → 检验_前白蛋白 → 检验_胆碱酯酶
12,检验_白球比,检验_前白蛋白,检验_镁,检验_白球比 → 检验_前白蛋白 → 检验_镁
13,检验_白球比,检验_前白蛋白,检验_总胆红素,检验_白球比 → 检验_前白蛋白 → 检验_总胆红素
14,检验_白球比,检验_白蛋白,检验_总蛋白,检验_白球比 → 检验_白蛋白 → 检验_总蛋白
15,检验_白球比,检验_血小板,药物_维生素C注射液,检验_白球比 → 检验_血小板 → 药物_维生素C注射液
16,检验_白球比,检验_血小板,检验_血小板比容,检验_白球比 → 检验_血小板 → 检验_血小板比容
17,检验_白球比,疾病_高脂血症,疾病_动脉硬化,检验_白球比 → 疾病_高脂血症 → 疾病_动脉硬化
18,检验_白球比,疾病_高脂血症,药物_匹伐他汀钙片,检验_白球比 → 疾病_高脂血症 → 药物_匹伐他汀钙片
19,检验_白球比,疾病_高脂血症,药物_阿托伐他汀钙片,检验_白球比 → 疾病_高脂血症 → 药物_阿托伐他汀钙片
20,检验_白球比,疾病_高脂血症,疾病_腔隙性脑梗死,检验_白球比 → 疾病_高脂血症 → 疾病_腔隙性脑梗死
21,检验_白球比,疾病_高脂血症,疾病_前列腺增生,检验_白球比 → 疾病_高脂血症 → 疾病_前列腺增生
22,检验_白球比,药物_氯化钾注射液,疾病_肺部感染,检验_白球比 → 药物_氯化钾注射液 → 疾病_肺部感染
23,检验_白球比,药物_氯化钾注射液,药物_维生素C注射液,检验_白球比 → 药物_氯化钾注射液 → 药物_维生素C注射液
24,检验_白球比,药物_氯化钾注射液,药物_氯化钠注射液,检验_白球比 → 药物_氯化钾注射液 → 药物_氯化钠注射液
25,检验_白球比,药物_氯化钾注射液,检验_平均血红蛋白浓度,检验_白球比 → 药物_氯化钾注射液 → 检验_平均血红蛋白浓度
26,检验_白球比,药物_氯化钾注射液,药物_盐酸氨溴索注射液,检验_白球比 → 药物_氯化钾注射液 → 药物_盐酸氨溴索注射液
27,检验_白球比,检验_钙,检验_嗜碱性粒细胞比率,检验_白球比 → 检验_钙 → 检验_嗜碱性粒细胞比率
