路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
1,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_白细胞,0.2606,0.1898,0.3321,0.0384,-0.0177,-0.1241,0.0845,0.0555,0.2429,0.1355,0.3431,0.0554,1.1251,112.5,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为112.5%。
2,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_单核细胞数量,0.1461,0.0789,0.2096,0.0345,0.0646,-0.056,0.1823,0.0636,0.2108,0.1058,0.3178,0.0562,0.755,75.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为75.5%。
3,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 检验_镁,0.0675,0.0067,0.1332,0.0337,0.0284,-0.1026,0.1473,0.0662,0.0959,-0.013,0.2011,0.0571,1.0094,100.9,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.9785,是,0.9785,0.0215,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为100.9%。
4,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 药物_复方鲜竹沥液,0.0274,-0.035,0.0912,0.0337,0.0448,-0.079,0.1743,0.069,0.0722,-0.0419,0.1824,0.0595,0.2976,29.8,直接影响,强,正向中介,正向直接效应,部分中介,0.7905,否,0.7905,0.2095,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为29.8%。
5,检验_中性粒细胞比率 → 检验_中性粒细胞数量 → 药物_苯磺酸氨氯地平片,-0.0572,-0.1233,0.0012,0.0334,-0.0284,-0.1444,0.0979,0.0654,-0.0856,-0.1961,0.018,0.0565,0.823,82.3,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.958,是,0.042,0.958,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为82.3%。
6,检验_中性粒细胞比率 → 检验_淋巴细胞比率 → 检验_淋巴细胞数量,0.2784,0.181,0.3728,0.0511,0.0285,-0.1068,0.1559,0.0709,0.307,0.2011,0.4062,0.0553,0.936,93.6,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为93.6%。
7,检验_中性粒细胞比率 → 检验_淋巴细胞比率 → 药物_维生素B6注射液,0.0705,-0.0381,0.1588,0.0528,0.0709,-0.0841,0.2143,0.0783,0.1415,0.0367,0.2571,0.0591,0.8428,84.3,直接影响,强,正向中介,正向直接效应,完全中介,0.9105,否,0.9105,0.0895,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为84.3%。
8,检验_白球比 → 检验_C反应蛋白 → 药物_复方鲜竹沥液,0.1188,0.0613,0.1792,0.0314,0.0378,-0.0828,0.1519,0.0624,0.1565,0.0558,0.2758,0.0574,0.9277,92.8,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为92.8%。
9,检验_白球比 → 检验_C反应蛋白 → 疾病_低钾血症,0.1515,0.0934,0.2141,0.0329,0.0374,-0.0732,0.1572,0.0621,0.1889,0.0785,0.2927,0.0577,0.9074,90.7,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,1.0,是,1.0,0.0,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为90.7%。
10,检验_白球比 → 检验_C反应蛋白 → 检验_总蛋白,0.0892,0.0323,0.1444,0.0302,0.048,-0.0764,0.1606,0.0644,0.1372,0.0262,0.2477,0.0591,0.8756,87.6,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.999,是,0.999,0.001,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为87.6%。
